Name,Height,Mass,Hair Color,Skin Color,Eye Color,Birth Year,BBY/ABY,Gender,Homeworld,Species
Ackbar,180,83,None,Brown Mottle,Orange,41,,Male,Mon Cala,Mon Calamari
Adi Gallia,184,50,None,Dark,Blue,80,,Female,Coruscant,Tholothian
Anakin Skywalker,188,84,Blond,Fair,Blue,41.9,,Male,Tatooine,Human
Arvel Crynyd,NA,NA,Brown,Fair,Brown,NA,,Male,NA,Human
Ayla Secura,178,55,None,Blue,Hazel,48,,Female,Ryloth,Twi'lek
Bail Prestor Organa,191,NA,Black,Tan,Brown,67,,Male,Alderaan,Human
Barriss Offee,166,50,Black,Yellow,Blue,40,,Female,Mirial,Mirialan
BB8,67,18,None,None,Black,29,,None,Hosnian Prime,Droid
Ben Quadinaros,163,65,None,"Grey, Green, Yellow",Orange,NA,,Male,Tund,Toong
Beru Whitesun lars,165,75,Brown,Light,Blue,47,BBY,Female,Tatooine,Human
Bib Fortuna,180,NA,None,Pale,Pink,NA,,Male,Ryloth,Twi'lek
Biggs Darklighter,183,84,Black,Light,Brown,24,BBY,Male,Tatooine,Human
Boba Fett,183,78,Black,Fair,Brown,31.5,BBY,Male,Kamino,Human
Bossk,190,113,None,Green,Red,53,BBY,Male,Trandosha,Trandoshan
C-3PO,167,75,None,Gold,Yellow,112,BBY,None,Tatooine,Droid
Captain Phasma,200,76,Gold,Light,Blue,NA,,Female,Parnassos,Human
Chewbacca,228,112,Brown,Na,Blue,200,BBY,Male,Kashyyyk,Wookiee
Cliegg Lars,183,NA,Brown,Fair,Blue,82,BBY,Male,Tatooine,Human
Cordé,157,NA,Brown,Light,Brown,NA,,Female,Naboo,Human
Darth Maul,175,80,None,Red,Yellow,54,BBY,Male,Dathomir,Zabrak
Darth Vader,202,136,None,White,Yellow,41.9,BBY,Male,Tatooine,Human
Dexter Jettster,198,102,None,Brown,Yellow,NA,,Male,Ojom,Besalisk
Dooku,193,80,White,Fair,Brown,102,BBY,Male,Serenno,Human
Dorme,165,NA,Brown,Light,Brown,48,BBY,Female,Naboo,Human
Dud Bolt,94,45,None,"Blue, Grey",Yellow,NA,,Male,Vulpter,Vulptereen
Eeth Koth,171,NA,Black,Tan,Brown,NA,,Male,Iridonia,Zabrak
Finis Valorum,170,NA,Blond,Fair,Blue,91,BBY,Male,Coruscant,Human
Finn,180,73,Black,Dark,Dark,11,ABY,Male,NA,Human
Gasgano,122,NA,None,"White, Blue",Black,NA,,Male,Troiken,Xexto
Greedo,173,74,None,Green,Black,44,BBY,Male,Rodia,Rodian
Gregar Typho,185,85,Black,Dark,Brown,NA,,Male,Naboo,Human
Grievous,216,159,None,"Brown, White","Green, Yellow",NA,,Male,Kalee,Kaleesh
Han Solo,180,80,Brown,Fair,Brown,29,BBY,Male,Corellia,Human
IG-88,200,140,None,Metal,Red,15,BBY,None,NA,Droid
Jabba Desilijic Tiure,175,1358,None,"Green-Tan, Brown",Orange,600,BBY,Hermaphrodite,Nal Hutta,Hutt
Jango Fett,183,79,Black,Tan,Brown,66,BBY,Male,Concord Dawn,Human
Jar Jar Binks,196,66,None,Orange,Orange,52,BBY,Male,Naboo,Gungan
Jek Tono Porkins,180,110,Brown,Fair,Blue,NA,,Male,Bestine IV,Human
Jocasta Nu,167,NA,White,Fair,Blue,NA,,Female,Coruscant,Human
Ki-Adi-Mundi,198,82,White,Pale,Yellow,92,BBY,Male,Cerea,Cerean
Kit Fisto,196,87,None,Green,Black,NA,,Male,Glee Anselm,Nautolan
Lama Su,229,88,None,Grey,Black,NA,,Male,Kamino,Kaminoan
Lando Calrissian,177,79,Black,Dark,Brown,31,BBY,Male,Socorro,Human
Leia Organa,150,49,Brown,Light,Brown,19,BBY,Female,Alderaan,Human
Lobot,175,79,None,Light,Blue,37,BBY,Male,Bespin,Human
Luke Skywalker,172,77,Blond,Fair,Blue,19,BBY,Male,Tatooine,Human
Luminara Unduli,170,56,Black,Yellow,Blue,58,BBY,Female,Mirial,Mirialan
Mace Windu,188,84,None,Dark,Brown,72,BBY,Male,Haruun Kal,Human
Mas Amedda,196,NA,None,Blue,Blue,NA,,Male,Champala,Chagrian
Mon Mothma,150,NA,Auburn,Fair,Blue,48,BBY,Female,Chandrila,Human
Nien Nunb,160,68,None,Grey,Black,NA,,Male,Sullust,Sullustan
Nute Gunray,191,90,None,Mottled Green,Red,NA,,Male,Cato Neimoidia,Neimodian
Obi-Wan Kenobi,182,77,"Auburn, White",Fair,Blue-Gray,57,BBY,Male,Stewjon,Human
Owen Lars,178,120,"Brown, Grey",Light,Blue,52,BBY,Male,Tatooine,Human
Padmé Amidala,165,45,Brown,Light,Brown,46,BBY,Female,Naboo,Human
Palpatine,170,75,White,Pale,Yellow,82,BBY,Male,Naboo,Human
Plo Koon,188,80,None,Orange,Black,22,BBY,Male,Dorin,Kel Dor
Poe Dameron,172,80,Brown,Light,Brown,2,ABY,Male,Yavin 4,Human
Poggle the Lesser,183,80,None,Green,Yellow,NA,,Male,Geonosis,Geonosian
Quarsh Panaka,183,NA,Black,Dark,Brown,62,BBY,Male,Naboo,Human
Qui-Gon Jinn,193,89,Brown,Fair,Blue,92,BBY,Male,Coruscant,Human
R2-D2,96,32,None,"White, Blue",Red,33,BBY,Male,Naboo,Droid
R4-P17,96,NA,None,"Silver, Red","Red, Blue",NA,,Female,Nubia,Droid
R5-D4,97,32,None,"White, Red",Red,NA,,Male,Tatooine,Droid
Ratts Tyerell,79,15,None,"Grey, Blue",Black,NA,,Male,Aleen Minor,Aleena
Raymus Antilles,188,79,Brown,Light,Brown,NA,,Male,Alderaan,Human
Rey,170,54,Brown,Light,Hazel,15,ABY,Female,Jakku,Human
Ric Olié,183,NA,Brown,Fair,Blue,NA,,Male,Naboo,Human
Roos Tarpals,224,82,None,Grey,Orange,NA,,Male,Naboo,Gungan
Rugor Nass,206,NA,None,Green,Orange,NA,,Male,Naboo,Gungan
Saesee Tiin,188,NA,None,Pale,Orange,NA,,Male,Iktotch,Iktotchi
San Hill,191,NA,None,Grey,Gold,NA,,Male,Muunilinst,Muun
Sebulba,112,40,None,"Grey, Red",Orange,NA,,Male,Malastare,Dug
Shaak Ti,178,57,None,"Red, Blue, White",Black,NA,,Female,Shili,Togruta
Shmi Skywalker,163,NA,Black,Fair,Brown,72,BBY,Female,Tatooine,Human
Sly Moore,178,48,None,Pale,White,NA,,Female,Umbara,Umbara
Tarfful,234,136,Brown,Brown,Blue,NA,,Male,Kashyyyk,Wookiee
Taun We,213,NA,None,Grey,Black,NA,,Female,Kamino,Kaminoan
Tion Medon,206,80,None,Grey,Black,NA,,Male,Utapau,Pau'an
Wat Tambor,193,48,None,"Green, Grey",Black,NA,,Male,Skako,Skakoan
Watto,137,NA,Black,"Blue, Grey",Yellow,NA,,Male,Toydaria,Toydarian
Wedge Antilles,170,77,Brown,Fair,Hazel,21,BBY,Male,Corellia,Human
Wicket Systri Warrick,88,20,Brown,Brown,Brown,8,BBY,Male,Endor,Ewok
Wilhuff Tarkin,180,NA,"Auburn, Grey",Fair,Blue,64,BBY,Male,Eriadu,Human
Yarael Poof,264,NA,None,White,Yellow,NA,,Male,Quermia,Quermian
Yoda,66,17,White,Green,Brown,896,BBY,Male,NA,NA
Zam Wesell,168,55,Blonde,"Fair, Green, Yellow",Yellow,NA,,Female,Zolan,Clawdite
